Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss
2015,ILLINOIS,17,Cumberland,"1,100","1,000",100,445.1546,404.686,40.4686,0.090909091
2015,ILLINOIS,17,Effingham,"5,500","5,100",400,2225.773,2063.8986,161.8744,0.072727273
2015,ILLINOIS,17,Jasper,"2,500","2,350",150,1011.715,951.0121,60.7029,0.06
2015,ILLINOIS,17,Lawrence,"7,200","7,050",150,2913.7392,2853.0363,60.7029,0.020833333
2015,ILLINOIS,17,Marion,"8,700","8,150",550,3520.7682,3298.1909,222.5773,0.063218391
2015,ILLINOIS,17,Moultrie,500,450,50,202.343,182.1087,20.2343,0.1
2015,ILLINOIS,17,Richland,"4,800","4,500",300,1942.4928,1821.087,121.4058,0.0625
2015,ILLINOIS,17,Boone,"1,700","1,450",250,687.9662,586.7947,101.1715,0.147058824
2015,ILLINOIS,17,DeKalb,"5,500","5,200",300,2225.773,2104.3672,121.4058,0.054545455
2015,ILLINOIS,17,Grundy,600,550,50,242.8116,222.5773,20.2343,0.083333333
2015,ILLINOIS,17,Kane,"3,000","2,900",100,1214.058,1173.5894,40.4686,0.033333333
2015,ILLINOIS,17,Lake,900,850,50,364.2174,343.9831,20.2343,0.055555556
2015,ILLINOIS,17,McHenry,"4,000","3,850",150,1618.744,1558.0411,60.7029,0.0375
2015,ILLINOIS,17,Carroll,"1,700","1,500",200,687.9662,607.029,80.9372,0.117647059
2015,ILLINOIS,17,Lee,"1,400","1,300",100,566.5604,526.0918,40.4686,0.071428571
2015,ILLINOIS,17,Ogle,"3,600","3,400",200,1456.8696,1375.9324,80.9372,0.055555556
2015,ILLINOIS,17,Rock Island,500,450,50,202.343,182.1087,20.2343,0.1
2015,ILLINOIS,17,Stephenson,"4,200","3,950",250,1699.6812,1598.5097,101.1715,0.05952381
2015,ILLINOIS,17,Whiteside,"3,200","3,050",150,1294.9952,1234.2923,60.7029,0.046875
2015,ILLINOIS,17,Winnebago,"3,300","3,200",100,1335.4638,1294.9952,40.4686,0.03030303
2015,ILLINOIS,17,Edwards,"4,500","4,450",50,1821.087,1800.8527,20.2343,0.011111111
2015,ILLINOIS,17,Franklin,"16,100","16,000",100,6515.4446,6474.976,40.4686,0.00621118
2015,ILLINOIS,17,Gallatin,"6,400","6,000",400,2589.9904,2428.116,161.8744,0.0625
2015,ILLINOIS,17,Hamilton,"8,900","8,800",100,3601.7054,3561.2368,40.4686,0.011235955
2015,ILLINOIS,17,Massac,"4,300","4,200",100,1740.1498,1699.6812,40.4686,0.023255814
2015,ILLINOIS,17,Saline,"1,000",900,100,404.686,364.2174,40.4686,0.1
2015,ILLINOIS,17,Wabash,"3,900","3,750",150,1578.2754,1517.5725,60.7029,0.038461538
2015,ILLINOIS,17,Wayne,"12,000","11,500",500,4856.232,4653.889,202.343,0.041666667
2015,ILLINOIS,17,White,"11,500","11,400",100,4653.889,4613.4204,40.4686,0.008695652
2015,ILLINOIS,17,Clinton,"32,200","31,600",600,13030.8892,12788.0776,242.8116,0.01863354
2015,ILLINOIS,17,Jackson,"19,400","19,200",200,7850.9084,7769.9712,80.9372,0.010309278
2015,ILLINOIS,17,Monroe,"28,500","28,300",200,11533.551,11452.6138,80.9372,0.007017544
2015,ILLINOIS,17,Perry,"29,000","28,800",200,11735.894,11654.9568,80.9372,0.006896552
2015,ILLINOIS,17,Randolph,"35,100","34,900",200,14204.4786,14123.5414,80.9372,0.005698006
2015,ILLINOIS,17,St. Clair,"25,100","25,000",100,10157.6186,10117.15,40.4686,0.003984064
2015,ILLINOIS,17,Union,"2,400","2,300",100,971.2464,930.7778,40.4686,0.041666667
2015,ILLINOIS,17,Washington,"52,700","51,600","1,100",21326.9522,20881.7976,445.1546,0.020872865
2015,ILLINOIS,17,Brown,600,550,50,242.8116,222.5773,20.2343,0.083333333
