Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,Aug-20,09-Mar,Sep-17,10-Jan,Oct-15,Oct-29,11-Dec,Nov-26,12-Oct,Dec-24,01-Jul,Jan-21,02-Apr,Feb-18,03-Apr,Mar-18,04-Jan,Apr-15,Apr-29,May-13,May-27,06-Oct,Jun-24,07-Aug,Jul-22,08-May,Aug-19,03-Mar,Mar-17,Mar-31,Apr-14,Apr-28,05-Dec,May-26,06-Sep,Jun-23,07-Jul,Jul-21,08-Apr,Aug-18
2015,WISCONSIN,55,Winnebago,"9,700","9,500",200,3925.4542,3844.517,80.9372,0.020618557,0.616777954,0.670300629,0.486604788,0.315448362,0.22539029,0.289454839,0.079957041,0.031333258,0.206593537,0.248150565,0.047675404,,0.038591567,0.041757044,0.115608202,0.108206512,0.044517902,0.333344232,0.084824091,0.630112488,0.645669653,,0.344247595,0.481709629,0.3651033,0.362492484,,,,,,,,,,,,,,
2015,WISCONSIN,55,Langlade County,"2,200","2,070",130,890.3092,837.70002,52.60918,0.059090909,0.067954197,0.38248791,0.149415982,0.339060509,0.105407553,0.363762373,0.038115856,0.036554784,0.08595176,0.036156186,,,0.027885805,0.020012171,0.013816972,,0.158595058,0.335482066,0.291274738,0.140459304,0.621300498,0.019925497,0.392131836,0.53679329,0.425162585,0.35599131,0.104979268,,,,,,,,,,,,,
2015,WISCONSIN,55,Oconto,"3,400","3,050",350,1375.9324,1234.2923,141.6401,0.102941176,0.083597442,0.549290393,0.445040914,0.332504555,0.303311195,0.337562879,0.077115008,0.046407521,0.128458571,0.149259587,0.044348685,,0.05088936,0.056129309,0.082543023,0.249550534,0.06835131,0.323658922,0.395409225,0.501877716,0.599306366,0.032320332,0.476072037,0.516107172,0.37791241,0.405505292,,,,,,,,,,,,,,
2015,WISCONSIN,55,Shawano,"3,100","2,650",450,1254.5266,1072.4179,182.1087,0.14516129,0.06596377,0.567794607,0.436363786,0.343782179,0.228162247,0.339883102,0.073280193,0.040724088,0.174088083,0.162624003,0.04432043,,0.050315466,0.053899054,0.072749604,0.246599165,0.066226916,0.332616446,0.407907352,0.506817081,0.612623019,0.011347722,0.365968619,0.532847119,0.386735771,0.418416495,0.089821823,,,,,,,,,,,,,
2015,WISCONSIN,55,Columbia,"8,000","7,600",400,3237.488,3075.6136,161.8744,0.05,0.699953785,0.651408801,0.157644328,0.349738241,0.262497444,0.288955556,,0.059670968,0.054424242,0.214544413,,,0.029409284,0.043339135,0.189879362,0.138663973,0.095620911,0.363746927,0.095878788,0.57279264,0.57413176,0.15539625,0.268587946,0.464026093,0.368193146,0.374879542,0.053170091,,,,,,,,,,,,,
2015,WISCONSIN,55,Dane,"14,900","14,500",400,6029.8214,5867.947,161.8744,0.026845638,0.7074944,0.662226144,0.265525176,0.334621922,0.272641286,0.299554972,,0.126459032,0.044626359,0.241812365,0.03292397,,0.02322251,0.037299992,0.110318233,0.182660333,0.165595307,0.447861155,0.05974349,0.55982395,0.672662837,0.029747989,0.346489741,0.458301108,0.372528409,0.389975716,0.149548814,,,,,,,,,,,,,
2015,WISCONSIN,55,Dodge,"13,400","12,800",600,5422.7924,5179.9808,242.8116,0.044776119,0.647332199,0.669117246,0.517428331,0.33268331,0.290264387,0.294514604,0.068799457,0.090260326,0.129451692,0.273855748,0.038266903,,0.02740091,0.040212484,0.157661318,0.141490012,0.102717546,0.409916317,0.042406038,0.701982112,0.646203134,,0.296799236,0.472074664,0.373023168,0.411088632,,,,,,,,,,,,,,
2015,WISCONSIN,55,Green County,"7,100","6,750",350,2873.2706,2731.6305,141.6401,0.049295775,0.553761826,0.636796491,,,0.233219187,0.295713443,0.068232662,0.229815657,0.041565711,,,,0.020747937,0.028721773,0.014086293,,0.193365448,0.436008133,,,0.479242875,0.033194742,0.406024956,0.474727566,0.393442823,0.410957819,,,,,,,,,,,,,,
2015,WISCONSIN,55,Jefferson,"6,900","6,700",200,2792.3334,2711.3962,80.9372,0.028985507,0.654499206,0.677565425,0.480037413,0.344778834,0.286401612,0.26256155,,0.085735705,0.075205454,0.264284328,0.031214304,,0.022886538,0.040318059,0.060082671,0.192340772,0.22671425,0.436955403,0.027998971,0.693751043,0.632593384,,0.207988875,0.462116846,0.402365076,0.43392035,,,,,,,,,,,,,,
2015,WISCONSIN,55,Rock,"8,400","8,150",250,3399.3624,3298.1909,101.1715,0.029761905,0.444377656,0.672892175,0.482748735,0.272027207,0.2391171,0.282452776,0.060149516,0.196819145,0.043295036,0.286195615,0.021684847,,0.016674934,0.028831507,-0.001311737,0.196194232,0.248594087,0.45621944,0.038831451,0.713105901,0.551097302,0.039206281,0.243661837,0.438553698,0.388863785,0.407575591,0.347919501,,,,,,,,,,,,,
