Year,Planting_Dates,Harvesting_Dates,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Commodity,ACRES_PLANTED,ACRES_HARVESTED,YIELD_(BU/ACRE)
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,CASSIA,31,WHEAT,"47,400","45,700",93.2
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,GOODING,47,WHEAT,"3,000","2,700",125.9
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,JEROME,53,WHEAT,"9,000","8,000",139
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,MINIDOKA,67,WHEAT,"14,300","13,800",116.5
2014,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,TWIN FALLS,83,WHEAT,"19,400","16,400",132.2
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,ADA,1,WHEAT,"3,800","3,500",111.4
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,CANYON,27,WHEAT,"21,400","20,900",119
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,ELMORE,39,WHEAT,"10,900","9,400",90
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,OWYHEE,73,WHEAT,"9,800","9,300",104.8
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,PAYETTE,75,WHEAT,"3,700","3,500",98.6
2014,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,WASHINGTON,87,WHEAT,"5,600","4,700",85.2
2014,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,MARSHALL,123,WHEAT,"1,200",900,74.4
2014,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,MASON,125,WHEAT,"3,400","2,700",49.6
2014,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,TAZEWELL,179,WHEAT,"2,300","2,050",59
2014,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,WOODFORD,203,WHEAT,"1,600","1,200",56.1
2014,28-Sep,19-Jul,ILLINOIS,17,EAST,50,CHAMPAIGN,19,WHEAT,"2,500","2,200",80
2014,28-Sep,19-Jul,ILLINOIS,17,EAST,50,IROQUOIS,75,WHEAT,"6,700","4,150",74
2014,28-Sep,19-Jul,ILLINOIS,17,EAST,50,LIVINGSTON,105,WHEAT,"8,100","4,050",69.6
2014,28-Sep,19-Jul,ILLINOIS,17,EAST,50,VERMILION,183,WHEAT,"3,900","3,100",75.8
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,CLARK,23,WHEAT,"6,700","6,500",77.5
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,COLES,29,WHEAT,"1,500","1,400",75
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,CRAWFORD,33,WHEAT,"9,200","8,300",64.6
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,CUMBERLAND,35,WHEAT,"2,300","2,200",67.3
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,DOUGLAS,41,WHEAT,900,700,68.6
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,EDGAR,45,WHEAT,"1,700","1,600",75
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,WHEAT,"8,800","8,100",73.1
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,WHEAT,"8,300","8,200",63.7
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,WHEAT,"14,100","13,700",66.9
