Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,Aug-20,09-Mar,Sep-17,10-Jan,Oct-15,Oct-29,11-Dec,Nov-26,12-Oct,Dec-24,01-Jul,Jan-21,02-Apr,Feb-18,03-Apr,Mar-18,04-Jan,Apr-15,Apr-29,May-13,May-27,06-Oct,Jun-24,07-Aug,Jul-22,08-May,Aug-19
2019,SOUTH DAKOTA,46,Potter,"25,300","23,100","2,200",10238.5558,9348.2466,890.3092,0.086956522,0.287356021,0.280895418,0.237082074,0.031516143,0.296068735,0.047467457,0.292649497,0.054347681,0.321038458,0.025153258,0.002278545,-0.003242823,0.002405174,-0.002088435,-0.016868151,0.052653085,-0.001380504,0.012676803,0.116981568,0.355233924,0.215952184,0.42407073,0.055614071,0.472052857,0.278297076,0.284867505,0.335337221
2019,SOUTH DAKOTA,46,Spink,"8,700","7,610","1,090",3520.7682,3079.66046,441.10774,0.125287356,0.418097113,0.302520357,0.311462749,0.063153327,0.337236659,,0.223429335,0.170568165,0.375985251,-0.038247967,-0.01081142,-0.014294573,-0.002605045,-0.002779162,-0.012354689,0.115907809,-0.023958093,0.063653709,0.019518378,0.173024469,0.737672628,0.066285721,0.070816773,0.376049282,0.273611579,0.40575904,0.083318843
2019,SOUTH DAKOTA,46,Lyman,"66,400","62,400","4,000",26871.1504,25252.4064,1618.744,0.060240964,0.326940619,0.320392933,0.275819251,0.061252453,0.339863427,0.052007796,0.211289683,0.073642926,0.364978198,0.00493174,0.001994589,0.009777915,0.013898713,-0.001826332,-0.028209675,0.059882537,0.003839756,0.214517917,0.273902725,0.061582544,0.667410524,0.765084187,0.387689393,0.143846931,0.239329419,0.258146456,0.328466019
2019,SOUTH DAKOTA,46,Charles Mix,"22,800","19,700","3,100",9226.8408,7972.3142,1254.5266,0.135964912,0.623637317,0.38679355,0.32051773,0.122842488,0.267367713,0.053161993,0.26002068,0.020046125,0.294118472,-0.005773847,0.006972643,0.192241698,0.083343386,0.004245912,0.010947878,0.019507403,-0.015213393,0.179689829,0.021629073,0.047081834,0.726469822,0.065710704,0.281695268,0.204031051,0.079399573,0.319118656,0.012852915
2019,SOUTH DAKOTA,46,Turner,900,820,80,364.2174,331.84252,32.37488,0.088888889,0.008336181,0.534238348,0.120591819,0.034555252,0.564978983,0.079993763,0.250151065,0.102728996,0.094000868,-0.004646448,0.001271949,0.166776041,0.046803341,0.003982835,0.014531651,0.023200835,-0.021895211,0.008107546,0.017469257,0.006960393,0.734568855,-0.034597506,0.619753054,0.514814784,0.293591906,0.329699994,0.029124959
2019,SOUTH DAKOTA,46,Yankton,900,320,580,364.2174,129.49952,234.71788,0.644444444,0.000573217,0.565684957,0.048470056,0.052862812,0.366493843,0.089871792,0.259090189,0.017158029,-0.026536462,-0.000670278,0.002919721,0.183893322,0.076270343,-0.003020631,0.021041191,0.042366161,-0.021446176,0.005796665,0.016198928,0.022873782,0.628804321,-0.043196943,0.323342978,0.462999945,0.266299357,0.409687625,0.091943635
2019,SOUTH DAKOTA,46,Jackson,"33,400","30,600","2,800",13516.5124,12383.3916,1133.1208,0.083832335,0.313933087,0.282171003,0.205090813,0.113791797,0.225837301,0.241312364,0.257096385,0.03001002,0.304301171,0.049806195,-0.007163369,0.100331022,0.017995259,-0.000568888,-0.005442263,0.076672758,0.022533717,0.166189418,0.220084281,0.341127824,0.072916348,0.572299991,0.343146998,0.265372772,0.143913405,0.392727338,0.357985575
2019,TENNESSEE,47,Bedford,"4,800","2,850","1,950",1942.4928,1153.3551,789.1377,0.40625,0.397685036,0.534971973,0.474099996,0.386600786,0.276585112,0.140869887,0.380989566,0.412552947,0.28549542,0.02658786,0.034744696,0.116098107,0.030547356,0.495608278,0.134231966,0.0401514,-0.021618769,0.149333739,0.558324047,0.392309019,0.084637886,0.122463215,0.417330871,0.217949035,0.395723674,0.70150436,0.671462503
2019,TENNESSEE,47,Cannon,900,330,570,364.2174,133.54638,230.67102,0.633333333,0.454486623,0.546321928,0.529337401,0.461778139,0.158307753,0.090756357,0.411358903,0.431038004,0.21023023,0.030816296,0.020964873,0.064657675,0.098792209,0.004178801,0.398054757,0.0224978,0.359507243,0.064974737,0.240450124,0.53150082,0.034423876,0.059410126,0.619907535,0.416697927,0.44321023,0.744565013,0.69694698
2019,TENNESSEE,47,Lincoln,"4,000","2,350","1,650",1618.744,951.0121,667.7319,0.4125,0.509292431,0.603537778,0.562893636,0.468318156,0.407246141,0.141032756,0.366824064,0.298794446,0.126305892,0.191497759,-0.019436423,0.406191552,0.027290422,0.215995094,0.260817972,0.087857372,0.173477504,0.156462992,0.364161905,0.414425808,0.193853162,0.055464703,0.380839759,0.186305411,0.413944199,0.631490418,0.620952248
2019,TENNESSEE,47,Marshall,"2,400","1,450",950,971.2464,586.7947,384.4517,0.395833333,0.330685457,0.630674241,0.470329419,0.317604769,0.235431534,0.091289469,0.343785672,0.432150364,0.326430725,0.028130326,0.022401137,0.208089517,0.003774874,0.603380549,0.029348967,0.042894874,-0.029645942,0.15220948,0.666325001,0.445802975,0.004748684,0.124819083,0.369867351,0.210915433,0.342421802,0.836955409,0.692302717
