Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,08-20,09-03,09-17,10-01,10-15,10-29,11-12,11-26,12-10,12-24,01-07,01-21,02-04,02-18,03-04,03-18,04-01,04-15,04-29,05-13,05-27,06-10,06-24,07-08,07-22,08-05,08-19
2021,INDIANA,18,Rush,"8,200","6,960","1,240",3318.4252,2816.61456,501.81064,0.151219512,0.803647791166311,0.6047330530833426,0.22513619880106492,0.21429626167060203,0.21709178626418435,0.22186181491310905,0.11822895447972674,-0.002867359082266012,0.049807393380924915,0.0359700741320252,0.015400021919055018,0.006170878879403832,-0.010373522676990949,0.013541123080232014,0.1147881914333731,0.011305652361779876,0.07397271374509405,0.7564301192021311,0.5449244650161025,0.050011445447996516,0.2587660843001427,0.06443881450716513,0.2571598001076263,0.02537051533080202,0.01820568199199337,0.36043172676795165,0.21417236817066101
2021,INDIANA,18,Shelby,"5,000","3,780","1,220",2023.43,1529.71308,493.71692,0.244,0.6918954953694529,0.6489023492088887,0.2887401107956436,0.23463319110512965,0.24209520468156878,0.24890965832465836,0.2896045305366901,-0.005954311636264821,0.22477815336986315,-0.020345926934730675,0.019679818445344627,0.007624825964939031,-0.006321124358677638,0.16072153180748022,0.10637274139995331,0.01699383221331475,0.33310043892322105,0.7841319326531933,0.6361673683096271,0.2593396285525345,0.19221425059382907,0.12550318362834545,0.26060236088262495,0.006085845930580325,0.014545824351191772,0.2860848717235709,0.021199619023508327
2021,INDIANA,18,Tipton,"1,400","1,170",230,566.5604,473.48262,93.07778,0.164285714,0.5890565456967639,0.4416995063184161,0.05262115892026492,0.2144471114056726,0.2675647803160601,0.18422538105570177,0.22660200285693058,0.005791891451794245,0.018264049343665975,0.0477786289760721,0.018562565437813816,-0.012657899371561324,-0.004260684917264512,0.08388087674975431,0.0481698345925742,0.026696416014407774,0.3962421602044813,0.7243705186718025,0.40076757100152155,0.27522296141915675,0.3259839881943809,0.2096068002292879,0.2673076936803984,0.05271185040863228,0.13976410740837192,0.4292472884579923,0.15933954282436727
2021,INDIANA,18,Delaware,"3,300","2,700",600,1335.4638,1092.6522,242.8116,0.181818182,0.7280474729740299,0.4559302506323076,0.24652333848885818,0.21913485095462984,0.25455602887898116,0.2898603792988307,0.18657259270686158,0.014199884863844313,0.024136229483843738,0.061976900876595215,0.028943139336052175,0.004534560102502896,-0.005595097842955069,0.2544386808338082,0.07757195487827895,0.03069894629643534,0.06674460440811578,0.6362459528388618,0.3056996901649871,0.23602375587142732,0.5504694351121657,0.1862789310927646,0.2767622863662204,0.03339287808175054,0.04189178889055696,0.4273022105136762,0.2952948577013391
2021,INDIANA,18,Fayette,"1,800","1,500",300,728.4348,607.029,121.4058,0.166666667,0.507445285173225,0.5184465011080504,0.0792065166421648,0.12255387494978849,0.139881376721903,0.28769989277417934,0.029523179863188947,0.036877500064749935,0.018314461080115557,0.0381673860484364,0.1401640346958512,0.00593584255812351,-0.0045809028211661745,0.0174562796418423,0.07671958807513896,0.164635079951082,0.02609076888344087,0.727732356917063,0.37240863200935204,0.2414914991862067,0.05317776431324854,0.09134570528537271,0.2830821631768876,0.1322839428887028,0.12086080865899847,0.29800032518558284,0.3139789234804063
2021,INDIANA,18,Henry,"3,000","2,500",500,1214.058,1011.715,202.343,0.166666667,0.7556733750147763,0.494180008855846,0.19745010093858123,0.21635938486594353,0.2544001458027864,0.2896117677228054,0.21722449536257643,0.017918841217441743,0.03284344557985902,0.0033039920638775326,0.019216719162443132,0.006318974088983309,-0.004431660334477985,0.04233634600597186,0.09854800251050289,0.0309246533183801,0.007898052511220336,0.6880216787425236,0.27673459624404745,0.04986279973201094,0.4099363154157163,0.1439837471886787,0.26052999142990146,0.012655012254237546,0.007033314358618947,0.4159923599476078,0.4044921444440467
2021,INDIANA,18,Randolph,"4,800","4,100",700,1942.4928,1659.2126,283.2802,0.145833333,0.40113235666753766,0.4769180698609967,0.1901884154932827,0.1218540776250079,0.07845583049689779,0.24928815613439995,0.1599491120408528,0.03352979555469783,0.020066713714917077,0.031801336705778234,0.03368900956226521,-0.004026518708737514,-0.007519242426545487,0.0688497174085803,0.04321436823023014,0.2626902415005028,-0.013025887762148424,0.6659886481168253,0.15390713376555637,0.08374729108390923,0.25036769998529806,0.17202090155867342,0.23477414722403717,0.18353342267115283,0.25231712890659547,0.20995028062397267,0.2534968802817662
2021,INDIANA,18,Wayne,"3,900","3,300",600,1578.2754,1335.4638,242.8116,0.153846154,0.12556114064395216,0.5757943638120462,0.1280427956339086,0.01490906299970598,0.03071838113564693,0.25319661742660327,0.1103051280122827,0.09872494297237598,0.009027413891703459,0.014392401133342045,0.2816499061052924,0.00900950664192905,-0.005788677916341067,0.030605497716600708,0.03198686410968665,0.30194737816971184,0.0012437586412092226,0.7055189244272341,0.05886957529539447,0.40393989130296976,0.2336716154453359,0.0057083802936936665,0.30034282228212267,0.25457663497280714,0.27018516648392654,0.22125487946922895,0.23360866986198872
2021,INDIANA,18,Elkhart,"2,000","1,620",380,809.372,655.59132,153.78068,0.19,0.6108616655983438,0.3485641079523268,0.21935275619963313,0.27087818068318226,0.23437739986806597,0.05916408150590634,0.2301227273681967,0.02384898555247938,0.15375325792488778,-0.0021418810197406514,0.017555407699949083,-0.002879364246447868,-0.001197326773397199,0.017422963601173937,0.41946660778009653,0.019237872086476895,0.003976992447654543,0.45400160156416736,0.39250966988799424,0.7796837516696343,0.49468944640083506,0.029048278475568942,0.29397238296429196,0.04872887348669851,0.3949014033509248,0.5144743238874212,0.4921324408979133
2021,INDIANA,18,Fulton,"3,000","1,600","1,400",1214.058,647.4976,566.5604,0.466666667,0.5064594996446378,0.34964120651454733,0.2279395987769964,0.13925288164436322,0.14692543298780322,0.3084649989605475,0.41508009618409475,0.025155404188350303,0.06262880463294819,0.008360070191656856,0.031079203137880287,0.002579905493115791,0.00290538930522957,0.06288394435847078,0.27135425828963905,0.02419010631557903,0.2949848216093671,0.5988520725538077,0.06483305219907678,0.12718592372063645,0.387664800023454,0.1887152500342249,0.26851860867912014,0.1636360477541454,0.3397361673212774,0.5647002313680999,0.4882969960597132
